유형명,용도명,수출국,원산지,품목,수출국,원산지,총수입건수,총수입중량(톤),총수입금액(천$),부적합건수,부적합중량(톤),부적합금액(천$),현품부재중량(톤),현품부재금액(천$)
,,,,"냉동망둑(문절망둑,구운)",,,1,2.29,2.52,0,0,0,0,0
,,,,냉동매퉁이,,,16,247.44,158.65,0,0,0,0,0
,,,,냉동매퉁이(F),,,108,"1,009.54","1,117.35",0,0,0,0,0
,,,,냉동메기,,,"1,091","3,818.14","9,822.14",9,26.38,56.49,0,0
,,,,냉동메기(F),,,34,167.21,509.56,0,0,0,0,0
,,,,냉동메기(PANGASIUS 메기),,,291,"1,517.96","3,342.49",0,0,0,0,0
,,,,"냉동메기(PANGASIUS 메기,F)",,,341,"3,481.36","10,070.71",1,2.4,6.29,0,0
,,,,"냉동메기(PANGASIUS메기,F,포장횟감)",,,601,"7,062.72","30,640.99",14,138.71,534.22,0,0
,,,,"냉동메기(PANGASIUS메기,F,횟감)",,,36,349.98,"1,450.3",0,0,0,0,0
,,,,냉동메기(VACHA메기),,,14,17.82,51.89,0,0,0,0,0
,,,,냉동메기(동남아메기),,,4,7.02,14.8,0,0,0,0,0
,,,,냉동메기(물메기),,,62,"1,422.07",739.79,3,222,74.3,0,0
,,,,"냉동메기(물메기,F)",,,51,936.87,845.25,2,39.03,33.03,0,0
,,,,냉동메기(붉은메기),,,711,"11,800.48","18,518.86",1,21.33,24.53,0,0
,,,,"냉동메기(붉은메기,F)",,,103,824.48,"3,011.64",0,0,0,0,0
,,,,"냉동메기(붉은메기,F,포장횟감)",,,1,0.5,1,0,0,0,0,0
,,,,"냉동메기(붉은메기,목살)",,,2,12.19,15.35,0,0,0,0,0
,,,,냉동메기(왈라고메기),,,9,19.81,56.79,0,0,0,0,0
,,,,냉동메기(차넬메기),,,1,0.31,0.03,0,0,0,0,0
,,,,"냉동메기(차넬메기,F)",,,1,0.2,0.33,0,0,0,0,0
,,,,"냉동메기(차넬메기,F,포장횟감)",,,1,4,16.8,1,4,16.8,0,0
,,,,냉동메기(체장메기),,,5,26.14,145.16,0,0,0,0,0
,,,,"냉동메기(체장메기,F)",,,16,36.18,316.04,0,0,0,0,0
,,,,냉동메기(칼집메기),,,130,179.14,701.29,0,0,0,0,0
,,,,냉동멸치,,,386,"11,426.99","9,406.59",0,0,0,0,0
,,,,냉동멸치(F),,,2,0.38,0.45,0,0,0,0,0
,,,,냉동멸치(자숙),,,2,0.31,5.04,0,0,0,0,0
,,,,냉동명태,,,"14,414","3,498,689.09","3,320,549.25",12,718.18,392.67,0,0
,,,,냉동명태(F),,,"14,216","303,329.65","715,298.57",7,175.9,249.35,0,0
,,,,"냉동명태(흑명태,F)",,,1,17.65,26.47,0,0,0,0,0
,,,,냉동모래무지,,,12,33.93,43.05,0,0,0,0,0
,,,,냉동몽치다래,,,116,367.53,467.48,1,24,20.64,0,0
,,,,냉동문어,,,"5,256","74,973.91","359,551.99",43,669.67,"2,000.4",0.12,0.37
,,,,"냉동문어(S,포장횟감)",,,38,54.13,671.47,0,0,0,0,0
,,,,냉동문어(다리),,,187,860.54,"2,581.69",2,4,11.55,0,0
,,,,"냉동문어(다리,자숙)",,,378,"1,887.75","11,861.02",1,8.36,66.34,0,0
,,,,"냉동문어(다리,자숙,포장횟감)",,,48,45.79,783.35,0,0,0,0,0
,,,,냉동문어(동체),,,57,118.77,274.29,0,0,0,0,0
,,,,"냉동문어(동체,자숙)",,,1,0.47,1.41,0,0,0,0,0
,,,,냉동문어(자숙),,,640,"4,731.53","27,311.36",2,9.58,24.46,0,0
,,,,"냉동문어(자숙,S)",,,161,341.66,"1,407.17",1,0.3,1.31,0,0
,,,,"냉동문어(자숙,S,포장횟감)",,,"1,295","3,291.37","44,390.8",12,23.92,234.56,0,0
,,,,"냉동문어(자숙,절단,횟감)",,,28,46.02,293.59,0,0,0,0,0
,,,,냉동물천구,,,5,42.75,25.28,0,0,0,0,0
,,,,냉동물천구(F),,,1,23.45,25.8,0,0,0,0,0
,,,,냉동물치다래,,,2,48.4,49.7,0,0,0,0,0
,,,,냉동미꾸라지,,,137,"2,825.51","11,100.41",0,0,0,0,0
,,,,냉동미꾸라지(F),,,9,23.63,68.02,0,0,0,0,0
,,,,냉동미꾸라지(구운),,,1,1.33,2,0,0,0,0,0
,,,,냉동미끈가지,,,1,0.03,0.4,0,0,0,0,0
,,,,냉동미더덕,,,36,497.2,266.87,0,0,0,0,0
,,,,냉동미더덕(오만둥이),,,60,"1,414.72",966.44,0,0,0,0,0
,,,,냉동미더덕살,,,1,2.08,0.52,0,0,0,0,0
,,,,냉동미역,,,1,0.6,4.51,0,0,0,0,0
,,,,냉동미역(귀),,,19,752.02,765.11,0,0,0,0,0
,,,,냉동민달고기,,,7,83.89,39.83,1,0.18,0.07,0,0
,,,,냉동민달고기(F),,,3,20.22,45.05,0,0,0,0,0
,,,,냉동민어(Cynoscion guatucupa),,,4,31.94,41.7,0,0,0,0,0
,,,,냉동민어(Micropogonias furnieri),,,2,24,36.14,0,0,0,0,0
,,,,냉동민어(가이석태속),,,344,"4,064.56","7,201.69",0,0,0,0,0
,,,,"냉동민어(가이석태속,F)",,,38,342.15,925.45,0,0,0,0,0
,,,,냉동민어(강다리),,,6,312.37,82.59,1,15,3.75,0,0
,,,,냉동민어(기타민어류),,,23,302,482.36,0,0,0,0,0
,,,,냉동민어(긴가이석태),,,"5,920","82,861.19","179,490.25",4,44.67,60.57,0,0.04
,,,,"냉동민어(긴가이석태,F)",,,8,20.66,75.16,0,0,0,0,0
,,,,냉동민어(꼬리검정민태),,,35,246.34,210.72,2,26.29,14.91,0,0
,,,,냉동민어(꼬마민어),,,15,203.15,204.49,0,0,0,0,0
,,,,"냉동민어(꼬마민어,F)",,,5,47.25,275.99,0,0,0,0,0
,,,,냉동민어(대두이석태),,,67,400.65,673.39,0,0,0,0,0
,,,,"냉동민어(대두이석태,F)",,,13,49.32,147.82,0,0,0,0,0
,,,,냉동민어(대서양꼬마민어),,,84,"1,863.16","2,615.4",0,0,0,0,0
,,,,냉동민어(대서양조기속),,,322,"7,241.93","15,052.31",1,10.48,5.24,0,0
,,,,"냉동민어(대서양조기속,F)",,,2,25.79,65.92,0,0,0,0,0
,,,,냉동민어(대서양통꼬마민어),,,6,96.5,133.15,0,0,0,0,0
,,,,냉동민어(대안이석태),,,44,289.31,209.79,1,12.44,4.98,0,0
,,,,냉동민어(동갈민어),,,10,30.82,50.31,0,0,0,0,0
,,,,냉동민어(동등이석태),,,94,"1,299.47","2,724.09",0,0,0,0,0
,,,,냉동민어(등갈민태),,,6,22.78,20.75,0,0,0,0,0
,,,,냉동민어(민어),,,"1,045","13,715.76","34,845.7",5,71.06,199.82,0,0
,,,,"냉동민어(민어,F)",,,13,60.34,196.46,1,0.5,4.18,0,0
,,,,냉동민어(민태),,,71,"1,131.89","1,689.95",0,0,0,0,0
,,,,"냉동민어(민태, F)",,,1,3.2,21.47,0,0,0,0,0
,,,,냉동민어(보구치),,,79,"1,072.92","1,135.19",0,0,0,0,0
,,,,"냉동민어(보구치,F)",,,5,18.66,55.1,1,0.4,0.67,0,0
,,,,냉동민어(붉은이석태),,,94,510.22,975.37,0,0,0,0,0
,,,,냉동민어(붉은이석태속),,,3,69.8,137.48,0,0,0,0,0
,,,,냉동민어(석태속(Otolithes cuvieri)),,,1,14.57,29.78,0,0,0,0,0
,,,,"냉동민어(섬민어,F)",,,4,68.84,108.41,0,0,0,0,0
,,,,냉동민어(세네갈가이석태),,,75,941.04,"3,542.52",0,0,0,0,0
,,,,냉동민어(수조기),,,161,"1,319.43","1,347.22",1,1.22,0.92,0,0
,,,,"냉동민어(수조기,F)",,,1,0.57,0.68,0,0,0,0,0
,,,,냉동민어(영상가이석태),,,"6,036","53,671.21","164,841.68",3,35.93,64.06,0,0
,,,,냉동민어(작은흑조기),,,8,163.76,107.24,1,6.44,20.41,0,0
,,,,"냉동민어(작은흑조기,F)",,,18,176.26,574.69,0,0,0,0,0
,,,,냉동민어(점민어),,,3,1.23,3.19,0,0,0,0,0
,,,,냉동민어(점조기),,,1,2.31,4.75,0,0,0,0,0
,,,,냉동민어(쿠자조기),,,16,114.55,304.15,0,0,0,0,0
,,,,냉동민어(파마이석태),,,28,53.11,116.77,0,0,0,0,0
,,,,냉동민어(홍민어),,,2,37.98,36.74,0,0,0,0,0
,,,,"냉동민어(홍민어,F,포장횟감)",,,15,52.77,368.77,0,0,0,0,0
,,,,"냉동민어(홍민어,S,포장횟감)",,,18,27.77,385.37,0,0,0,0,0
,,,,"냉동민어(홍민어,구운,S,포장횟감)",,,16,16.04,257.76,0,0,0,0,0
,,,,냉동민어(황강달이),,,2,18.69,8.98,0,0,0,0,0
,,,,냉동민어(황금리브민어),,,16,185.92,456.5,0,0,0,0,0
,,,,냉동민어(흑조기),,,25,"1,620.04","1,579.68",0,0,0,0,0
,,,,냉동밀크피시,,,435,"1,570.48","3,574.08",0,0,0,0,0
,,,,냉동밀크피시(F),,,67,73.4,400.07,0,0,0,0,0
,,,,냉동밀크피시(훈제),,,7,6.41,29.72,0,0,0,0,0
,,,,냉동바늘동치,,,4,2.45,4.3,0,0,0,0,0
,,,,냉동바라문디,,,64,150.56,703.36,0,0,0,0,0
,,,,냉동바라문디(F),,,7,17.59,185.33,0,0,0,0,0
,,,,"냉동바라문디(F,포장횟감)",,,69,187.69,"1,797.41",1,1.5,12.9,0,0
,,,,"냉동바라문디(S,포장횟감)",,,25,27.25,402.84,2,1.99,30.14,0,0
,,,,"냉동바라문디(구운,S,포장횟감)",,,4,3.6,50.7,0,0,0,0,0
,,,,냉동바리,,,93,"1,731.13","2,741.59",0,0,0,0,0
,,,,냉동바리(F),,,3,6.99,29.17,0,0,0,0,0
,,,,냉동바리(갈색둥근바리),,,6,7.44,35.7,0,0,0,0,0
,,,,"냉동바리(갈색둥근바리,S,포장횟감)",,,5,4.2,107.57,1,0.9,19.2,0,0
,,,,냉동바리(꽃돔),,,3,16.58,26.25,0,0,0,0,0
,,,,"냉동바리(꽃돔,F)",,,1,23,47.51,0,0,0,0,0
,,,,냉동바리(능성어),,,840,"17,240.61","28,820.96",6,10.64,7.81,0,0
,,,,"냉동바리(능성어,F)",,,4,22.91,35.06,0,0,0,0,0
,,,,냉동바리(다금바리),,,28,68.28,182.3,0,0,0,0,0
,,,,"냉동바리(다금바리,F)",,,33,290.73,"1,294.14",0,0,0,0,0
,,,,"냉동바리(다금바리,F,포장횟감)",,,18,203.23,807.9,3,32.37,139.53,0,0
,,,,"냉동바리(다금바리,F,횟감)",,,5,56.98,222.87,1,9.98,41.91,0,0
,,,,냉동바리(대문바리),,,5,1.8,3.76,0,0,0,0,0
,,,,냉동바리(무늬바리),,,12,2.72,47.61,0,0,0,0,0
,,,,냉동바리(붉바리),,,2,0.98,2.15,1,0.01,0.02,0,0
,,,,냉동바리(아르헨티나바리류),,,14,133.65,124.34,0,0,0,0,0
,,,,"냉동바리(얼룩바리,F,포장횟감)",,,3,4.12,32.98,2,4.01,32.06,0,0
,,,,냉동바리(육색줄바리),,,1,1.5,4.5,0,0,0,0,0
,,,,냉동바리(자바리),,,1,0.11,0.73,0,0,0,0,0
,,,,냉동바리(통의바리),,,12,6.21,31.05,0,0,0,0,0
,,,,냉동바리(흉기흑점바리),,,9,21.03,83.37,1,1.14,2.29,0,0
,,,,"냉동바리(흉기흑점바리,F,포장횟감)",,,2,1.27,9.58,2,1.27,9.58,0,0
,,,,냉동바지락,,,591,"10,063.56","13,649.84",0,0,0,0,0
,,,,냉동바지락(자숙),,,64,668.66,"1,657.97",0,0,0,0,0
,,,,냉동바지락(한쪽껍질붙은),,,6,19.91,17.94,0,0,0,0,0
,,,,냉동바지락살,,,469,"4,833.3","10,473.33",1,3,4.8,0,0
,,,,냉동바지락살(자숙),,,"2,774","35,153.51","83,162.21",2,11.5,19.68,0,0
,,,,냉동반지,,,4,44.33,57.51,0,0,0,0,0
,,,,냉동방어,,,30,884.83,"1,135.66",0,0,0,0,0
,,,,냉동방어(F),,,44,161.6,"1,348.68",0,0,0,0,0
,,,,"냉동방어(F,포장횟감)",,,168,601.4,"9,082.35",6,11.89,161.84,0,0
,,,,"냉동방어(목살,포장횟감)",,,1,0.25,2.59,1,0.25,2.59,0,0
,,,,"냉동방어(부시리,F)",,,1,0.12,2.7,0,0,0,0,0
,,,,"냉동방어(부시리,F,포장횟감)",,,7,57.71,"1,037.37",0,0,0,0,0
,,,,"냉동방어(잿방어,F,포장횟감)",,,23,17.07,260.39,1,0.2,5.64,0,0
,,,,"냉동방어(잿방어,S,포장횟감)",,,1,0.11,0.54,0,0,0,0,0
,,,,"냉동방어(잿방어,목살)",,,2,0.24,2.41,0,0,0,0,0
,,,,냉동배불뚝치,,,3,13.07,30.94,0,0,0,0,0
,,,,냉동배불뚝치(F),,,3,3.78,4.58,0,0,0,0,0
,,,,냉동백연,,,2,9.76,4.86,0,0,0,0,0
,,,,냉동백연(F),,,1,7.5,11.48,0,0,0,0,0
,,,,냉동백합,,,939,"11,177.26","14,360.63",0,0,0,0,0
,,,,냉동백합(Chione),,,1,0.59,0.59,0,0,0,0,0
,,,,냉동백합(GOLDEN CALLISTA),,,3,11.92,21.78,0,0,0,0,0
,,,,냉동백합(Megapitaria),,,1,0.69,0.69,0,0,0,0,0
,,,,냉동백합(PISMO CLAM),,,3,13,26.78,0,0,0,0,0
,,,,냉동백합(SMOOTH PACIFIC VENUS),,,3,8.7,15.95,0,0,0,0,0
,,,,"냉동백합(남방백합,자숙)",,,33,320.77,638.09,0,0,0,0,0
,,,,냉동백합(비너스백합),,,2,5.23,2.33,1,3.97,1.19,0,0
,,,,냉동백합(아담스백합),,,2,8.26,3.91,0,0,0,0,0
,,,,냉동백합(자숙),,,17,154.98,272.06,0,0,0,0,0
,,,,냉동백합(주름백합),,,1,1.39,0.97,0,0,0,0,0
,,,,"냉동백합(주름백합, 한쪽껍질붙은)",,,1,14.76,5.91,0,0,0,0,0
,,,,냉동백합(한쪽껍질붙은),,,7,19.09,30.74,0,0,0,0,0
,,,,냉동백합살,,,32,122.33,242.39,1,2.81,3.93,0,0
,,,,"냉동백합살(S,포장횟감)",,,1,0.04,0.84,0,0,0,0,0
,,,,냉동백합살(비너스백합),,,10,23.66,64.78,0,0,0,0,0
,,,,냉동백합살(자숙),,,244,"1,061.08","2,097.92",0,0,0,0,0
,,,,냉동백합살(주름백합),,,7,14.25,34.29,0,0,0,0,0
,,,,냉동밴댕이,,,20,189,145.61,0,0,0,0,0
,,,,냉동밴댕이(F),,,14,173.56,352.53,0,0,0,0,0
,,,,"냉동밴댕이(F,포장횟감)",,,86,"1,502.37","4,320.62",3,46.8,87.85,0,0
,,,,냉동뱅어,,,12,27.12,104.87,0,0,0,0,0
,,,,냉동뱅어(포장횟감),,,22,5.41,91,1,0.3,4.32,0,0
,,,,냉동버들치,,,4,24.25,40.02,0,0,0,0,0
,,,,냉동버터플라이킹피시,,,45,202.8,285.13,1,0.94,1.64,0,0
,,,,냉동버터플라이킹피시(F),,,6,12.59,30.71,0,0,0,0,0
,,,,냉동벌레문치,,,44,248.15,112.19,0,0,0,0,0
,,,,냉동베도라치,,,1,0.78,4.7,0,0,0,0,0
,,,,냉동병어,,,"1,104","10,568.6","52,911.67",10,65.86,250.64,0,0
,,,,냉동병어(F),,,8,39.98,130.91,0,0,0,0,0
,,,,"냉동병어(S,포장횟감)",,,3,5.9,59.64,0,0,0,0,0
,,,,냉동병어(기타병어류),,,19,72.16,139.95,0,0,0,0,0
,,,,냉동보리멸,,,43,210.89,744.43,2,5,10.4,0,0
,,,,냉동보리멸(F),,,242,"1,720.67","3,639.96",3,35.86,77.26,0,0
,,,,"냉동보리멸(F,포장횟감)",,,728,962.88,"10,645.75",4,2.66,21.89,0,0
,,,,냉동보리멸(S),,,1,0.15,2.38,0,0,0,0,0
,,,,냉동복어,,,5,22.71,137.27,5,22.71,137.27,0,0
,,,,냉동복어(검복),,,223,"3,764.02","6,400.13",13,137.97,185.31,0,0
,,,,냉동복어(국매리복),,,3,42.36,69.7,3,42.36,69.7,0,0
,,,,냉동복어(까치복),,,"1,901","18,957.95","87,579.71",51,397.18,"2,501.74",1.07,5.52
,,,,냉동복어(까칠복),,,161,"1,706.77","2,768.08",3,13.06,20.38,0,0
,,,,냉동복어(매리복),,,1,1.45,9.36,0,0,0,0,0
,,,,"냉동복어(민밀복, 금밀복)",,,"1,509","18,043.64","40,886.8",29,280.11,425.87,0,0
,,,,"냉동복어(밀복, 독밀복)",,,5,65.67,71.34,5,65.67,71.34,0,0
,,,,냉동복어(복섬),,,2,0.93,0.73,2,0.93,0.73,0,0
,,,,냉동복어(불룩복),,,15,186.2,346.82,5,132.45,261.5,0,0
,,,,"냉동복어(은밀복, 흰밀복)",,,"1,921","26,426.08","49,423.96",30,237.48,245.65,0,0
,,,,냉동복어(자주복),,,380,"3,591.16","21,101.15",12,63.39,214.23,0.08,0.33
,,,,냉동복어(졸복),,,29,256.05,338.8,19,163.13,206.27,0,0
,,,,냉동복어(쥐복),,,1,3.42,2.74,1,3.42,2.74,0,0
,,,,"냉동복어(참복, 검자주복)",,,200,"1,738.15","7,189.99",8,22.43,138.01,0,0
,,,,냉동복어(황복),,,168,"1,096.85","5,675.49",30,139.39,527.85,0,0
,,,,"냉동복어(황점복, 삼채복)",,,3,10.64,50.02,1,7.53,33.89,0,0
,,,,"냉동복어(흑밀복, 검은밀복)",,,"2,960","59,261.84","80,353.63",31,572.36,711.6,0,0
,,,,냉동복어(흰점복),,,1,3.88,2.33,1,3.88,2.33,0,0
,,,,냉동볼락,,,37,364.13,539.33,0,0,0,0,0
,,,,냉동볼락(F),,,12,57.02,117.57,1,0.09,0.35,0,0
,,,,"냉동볼락(F,포장횟감)",,,4,5.02,66,0,0,0,0,0
,,,,냉동볼락(갈퀴볼락),,,13,45.77,24.65,0,0,0,0,0
,,,,냉동볼락(검정볼락),,,387,"2,465.11","5,863.5",0,0,0,0,0
,,,,"냉동볼락(검정볼락,F)",,,1,0.05,0.4,0,0,0,0,0
,,,,냉동볼락(눈볼락),,,3,5.5,8.12,0,0,0,0,0
,,,,냉동볼락(먹볼락),,,472,"4,629.43","7,302.4",0,0,0,0,0
,,,,"냉동볼락(먹볼락,F)",,,1,0.04,0.24,0,0,0,0,0
,,,,"냉동볼락(먹볼락,F,포장횟감)",,,1,2.38,21,0,0,0,0,0
,,,,냉동볼락(쏨뱅이),,,5,34.98,45.87,0,0,0,0,0
,,,,냉동볼락(양볼락),,,193,"3,840.77","4,394.75",1,0.79,0.63,0,0
,,,,냉동볼락(얼룩볼락),,,"1,163","67,123.58","64,483.69",2,129.93,77.48,0,0
,,,,냉동볼락(우럭볼락),,,2,8.67,9.07,0,0,0,0,0
,,,,냉동볼락(장문볼락),,,"3,145","110,015.39","189,962.19",0,0,0,0,0
,,,,"냉동볼락(장문볼락,F)",,,27,362.19,"1,722.62",0,0,0,0,0
,,,,"냉동볼락(장문볼락,S,포장횟감)",,,63,161.36,"1,940.27",0,0,0,0,0
,,,,냉동볼락(조피볼락),,,915,"13,199","33,876.47",0,0,0,0,0
,,,,냉동볼락(청회볼락),,,12,55.93,255.5,0,0,0,0,0
,,,,냉동볼락(한볼락),,,18,54.74,125.26,0,0,0,0,0
,,,,냉동붉평치,,,"1,346","8,265.36","15,026.65",0,0,0,0,0
,,,,냉동붉평치(F),,,13,63.35,141.54,0,0,0,0,0
,,,,냉동붕어,,,166,233.84,484.14,0,0,0,0,0
,,,,"냉동붕어(각시붕어,구운)",,,1,1.5,2.25,0,0,0,0,0
,,,,냉동붕어(버들붕어),,,183,317.42,972.08,4,9.77,29.53,0,0
,,,,냉동블랙피시,,,2,1.72,3.19,0,0,0,0,0
,,,,냉동블루길,,,35,63.38,176.28,0,0,0,0,0
,,,,냉동블루피쉬,,,5,2.31,4.15,0,0,0,0,0
,,,,냉동블루화이팅,,,59,"3,925.91","2,581.11",0,0,0,0,0
,,,,냉동블루화이팅(F),,,520,"9,814.98","24,002.33",0,0,0,0,0
,,,,냉동빙어,,,14,96,207.24,0,0,0,0,0
,,,,냉동빙어(F),,,1,0.36,0.94,0,0,0,0,0
,,,,"냉동빙어(F,포장횟감)",,,6,4.44,39.12,2,1.16,8.81,0,0
,,,,냉동빙어(구운),,,4,12.84,29.82,0,0,0,0,0
,,,,냉동빙어(바다빙어),,,1,0.24,0.1,0,0,0,0,0
,,,,냉동빙어(열빙어),,,947,"15,195.93","30,219.09",0,0,0,0,0
,,,,"냉동빙어(열빙어,구운)",,,1,1.43,15.98,0,0,0,0,0
,,,,냉동빨판매가리류(SNUBNOSE POMPANOS),,,1,0.11,0.94,0,0,0,0,0
,,,,"냉동빨판매가리류(SNUBNOSE POMPANOS,F,포장횟감)",,,18,22.45,246.98,1,15.11,161.8,0,0
,,,,냉동살꺽정이,,,1,11.71,12.75,0,0,0,0,0
,,,,냉동삼치,,,"1,032","19,458.89","25,660.71",2,6.16,7.71,0,0
,,,,냉동삼치(F),,,358,"3,694.72","9,351.52",0,0,0,0,0
,,,,냉동삼치(검정통삼치),,,16,284.77,302.75,0,0,0,0,0
,,,,"냉동삼치(검정통삼치,F)",,,2,3.03,14.28,0,0,0,0,0
,,,,냉동삼치(꼬치삼치),,,136,384.92,774.98,0,0,0,0,0
,,,,냉동삼치(동갈삼치),,,31,118.36,281.88,0,0,0,0,0
,,,,냉동삼치(비늘삼치),,,14,52.07,87.15,0,0,0,0,0
,,,,"냉동삼치(비늘삼치,F)",,,20,24.22,44.14,0,0,0,0,0
,,,,"냉동삼치(비늘삼치,F,횟감)",,,2,2.87,4.67,0,0,0,0,0
,,,,냉동삼치(줄삼치),,,29,60.48,70.25,0,0,0,0,0
,,,,"냉동삼치(줄삼치,F)",,,2,0.41,2.67,0,0,0,0,0
,,,,냉동상어,,,105,762.27,"1,069.48",7,80.98,149.32,0,0
,,,,냉동상어(F),,,47,195.39,393.1,5,14.8,13.3,0,0
,,,,냉동상어(가시줄상어),,,2,1.73,3.16,1,0.79,0.28,0,0
,,,,냉동상어(강남상어),,,1,9.1,6.37,1,9.1,6.37,0,0
,,,,냉동상어(개상어),,,9,71.26,70.26,2,0.6,2.14,0,0
,,,,냉동상어(곱상어),,,250,"3,553.09","3,057.22",0,0,0,0,0
,,,,"냉동상어(곱상어,F)",,,6,21.62,26.8,0,0,0,0,0
,,,,냉동상어(귀상어),,,570,"4,496.24","17,004.37",1,1.4,0.98,0,0
,,,,"냉동상어(귀상어,F)",,,5,18.62,23.31,1,10.32,15.28,0,0
,,,,냉동상어(극지별상어),,,3,36.7,20.41,0,0,0,0,0
,,,,냉동상어(기름상어),,,5,69.27,116.93,0,0,0,0,0
,,,,냉동상어(꼬리기름상어),,,18,157.16,176.93,0,0,0,0,0
,,,,"냉동상어(꼬리기름상어,F)",,,5,44.01,65.38,0,0,0,0,0
,,,,"냉동상어(돌묵상어,F)",,,1,1.19,3.43,0,0,0,0,0
,,,,냉동상어(두첨상어),,,7,201.63,228.79,0,0,0,0,0
,,,,냉동상어(미흑점상어),,,4,3.17,2,0,0,0,0,0
,,,,냉동상어(백상아리),,,22,85.98,79.72,2,5.09,4.44,0,0
,,,,냉동상어(별상어),,,5,8.18,7.16,2,2.41,3.7,0,0
,,,,냉동상어(비악상어),,,9,78.56,69.98,0,0,0,0,0
,,,,"냉동상어(비악상어,F)",,,2,19.63,34.27,0,0,0,0,0
,,,,냉동상어(아구상어),,,1,1.8,1.5,1,1.8,1.5,0,0
,,,,냉동상어(악상어),,,684,"9,233.09","10,267.15",0,0,0,6.56,6.56
,,,,"냉동상어(악상어,F)",,,48,219.51,515.06,0,0,0,0,0
,,,,"냉동상어(악상어,지느러미)",,,3,1.27,37.8,0,0,0,0,0
,,,,냉동상어(은상어),,,2,2.32,1.55,0,0,0,0,0
,,,,"냉동상어(은상어,F)",,,15,27.29,100.78,0,0,0,0,0
,,,,냉동상어(지느러미),,,7,16.09,204.56,0,0,0,0,0
,,,,"냉동상어(지느러미,근사)",,,62,29.17,405.86,0,0,0,0,0
,,,,"냉동상어(지느러미,자숙)",,,"1,961",882.77,"38,279.12",5,1.67,128.25,0,0
,,,,냉동상어(진환도상어),,,91,444.06,488.28,9,70.01,48.67,0,0
,,,,"냉동상어(진환도상어,F)",,,120,840.6,"2,316.04",11,64.12,154.18,0,0
,,,,"냉동상어(진환도상어,지느러미)",,,1,0.14,1.35,1,0.14,1.35,0,0
,,,,냉동상어(참상어),,,4,25.89,42.98,0,0,0,0,0
,,,,냉동상어(철갑상어),,,2,1.51,13.95,0,0,0,0,0
,,,,"냉동상어(철갑상어,F)",,,2,3.7,92.29,0,0,0,0,0
,,,,냉동상어(청상아리),,,"3,498","26,438.45","60,769.22",3,3.57,8.87,0,0
,,,,"냉동상어(청상아리,F)",,,962,"6,614.03","22,608.29",2,21.73,73.28,0,0
,,,,"냉동상어(청상아리,지느러미)",,,8,8.15,95.79,0,0,0,0,0
,,,,"냉동상어(청상아리,지느러미,자숙)",,,8,6.29,174.35,0,0,0,0,0
,,,,냉동상어(청새리상어),,,142,"1,940.43","1,525.43",1,0.28,0.08,0,0
,,,,"냉동상어(청새리상어,F)",,,1,49.83,49.92,0,0,0,0,0
,,,,"냉동상어(청새리상어,지느러미)",,,7,5.81,113.11,0,0,0,0,0
,,,,"냉동상어(청새리상어,지느러미,자숙)",,,59,54.24,"5,413.98",0,0,0,0,0
,,,,냉동상어(행락상어),,,1,0.62,0.18,0,0,0,0,0
,,,,"냉동상어(환도상어,F)",,,8,25.3,66.06,3,10.87,23.68,0,0
,,,,냉동상어(흑기흉상어),,,"1,212","12,402.16","22,795.22",2,56.08,71.41,0,0
,,,,"냉동상어(흑기흉상어,F)",,,20,81.88,97.85,0,0,0,0,0
,,,,"냉동상어(흑기흉상어,지느러미)",,,11,2.41,68.71,0,0,0,0,0
,,,,"냉동상어(흑기흉상어,지느러미,근사)",,,67,87.3,"2,171.03",0,0,0,0,0
,,,,"냉동상어(흑기흉상어,지느러미,자숙)",,,35,53.24,"2,335.21",0,0,0,0,0
,,,,냉동새꼬리민태,,,262,"15,067.19","16,509.45",0,0,0,0,0
,,,,냉동새꼬리민태(F),,,111,"4,804.19","9,661.95",0,0,0,0,0
,,,,냉동새꼬리민태(S),,,7,95.45,189.66,0,0,0,0,0
,,,,냉동새다래,,,26,169.12,194.44,1,4.32,6.69,0,0
,,,,냉동새다래(F),,,1,0.1,0.55,0,0,0,0,0
,,,,냉동새우,,,946,"6,991.36","26,136.99",11,34.24,92.35,0,0
,,,,냉동새우(BROWN TIGER PRAWN),,,1,0.3,0.23,0,0,0,0,0
,,,,냉동새우(RED ENDEAVOUR PRAWN),,,1,5.4,66.42,0,0,0,0,0
,,,,냉동새우(SOUTHERN PINK SHRIMP),,,1,1.48,4.76,0,0,0,0,0
,,,,냉동새우(WESTERN KING PRAWN),,,12,18.74,295.56,0,0,0,0,0
,,,,냉동새우(가시발새우),,,23,20.93,267.77,0,0,0,0,0
,,,,냉동새우(가시배새우),,,1,3.23,22.63,0,0,0,0,0
,,,,냉동새우(곧은뿔중하),,,1,0.12,0.52,0,0,0,0,0
,,,,냉동새우(그라비새우),,,1,7.27,21.81,0,0,0,0,0
,,,,냉동새우(긴다리줄새우),,,2,1.54,5.73,0,0,0,0,0
,,,,냉동새우(긴집게발새우),,,44,40.31,214.41,0,0,0,0,0
,,,,냉동새우(꽃새우),,,185,"3,383.19","6,678.44",16,176.86,528.49,0,0
,,,,"냉동새우(꽃새우,자숙)",,,1,0.18,0.72,0,0,0,0,0
,,,,냉동새우(네점발빨간새우),,,23,50.25,298.04,0,0,0,0,0
